,reviewText,predSumary,actualSummary
2337,Teastes Great. Quick hot meal.,Five Stars,Five Stars
2338,great,Five Stars,Five Stars
2339,Made my scalp extremely flakey and gross. Was also weird clumpy texture.,Great hair texture,Irritated scalp badly
2340,A,Five Stars,Five Stars
2341,Fun family game for all ages,Four Stars,Enjoyable for all the family
2342,"Makes my facial pores smaller and I swear  that my wrinkles seem less obvious around my eyes.  Much appreciated
since large pores run in the family.",Small wrinkles,Does a really great job
2343,"After receiving one without the sprayer, I am happy to report that the replacement order is complete.  I used it today, and love how strong the spray is, and how ""trouble free"" it is!!",Love it!,I am happy to report that the replacement order is complete
2344,I have such a hard time with foundation or CC Cream in that so many leave my face greasy after a few hours or they are either way too dark or too light.  This is just perfect for me.  My skin is not greasy even after 5 hours and this matches skin tone in a lot of different tones.  Plus the bonus of having a sunscreen in it.  I ordered the light/medium.,Just perfect for my skin,This is just perfect for me
2345,"This is my favorite floss.  I do feel like my teeth are much cleaner when I use it.  Like the name says, it glides easily between my teeth, no sticking or shredding.  The plastic container is small, compact and attractive.  The minty flavor is a nice touch.",My favorite floss,Glides like it says
2346,Made me break out!,Five Stars,One Star
2347,Decent quality for the price.  I am using these to modify a trigger for a Nikon camera to do layer by layer time lapse of my 3D printer.,Decent quality for the price. I am using these to modify a trigger,Decent quality for the price. I am using these ...
2348,"Its a little strange to be asked to use this many words to rate an item about which there is little to be said. It came sooner than expected, exactly as advertised.",Its a little strange to be asked,Gets the job done
2349,"I am a technician. I have been a technician since 1971. Having used Supco relays for over 30 years when they first became available,  I have always found them to be reliable and they saved me from carrying 40 or 50 types of relays in my truck.

  Mr burke",I have been a technician since 1971,"Totally reliable relays, 45 years experience"
2350,enjoy product,Five Stars,Five Stars
2351,"I tried another doggy backpack a while back and ended up returning it because it was falling apart. It was also an ""Outward Hound"" product, and it did not last long. The return and refund were very easy however, and I decided to give them another shot. I have used this one many times now, with plenty of weight in it. Still does not slow down the 65 lb. pitbull much, but it is holding up well and the velcro release comes in handy. PLEASE NOTE! 65LB. DOG, MEDIUM IS PLENTY LARGE!",This is a very good doggy backpack,"very sturdy, made large"
2352,These smell great!,Five Stars,Five Stars
2353,"I do not use this for wine, but for making chalk paint.  Works great.  And, a pound will yield about 26 pints of paint.  Pretty cheap compared to the ""branded"" chalk paint, which costs upwards of $40 for a quart.  Those are quality products, but I think I get almost the same finish doing it myself.  I typically purchase sample sizes from Sherwin Williams and then simply mix my own.  A quart runs me about $6 including the cost of the CaCo3.",Works good!!,Make your own chalk paint
2354,"The only thing I can say bad about this is I did not get a larger can, a delicious snack!",Great snack!,Five Stars
